Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Hepatitis B Homo sapiens hsa05161	19/146	1.523530e-06	3.885002e-04	0	0	4.039792e+00	5.411092e+01	IFNA4;MAP2K1;CDKN1A;IFNA1;SRC;NFATC1;TNF;RELA;DDB2;PIK3CA;CREB3L1;CDK2;BCL2;STAT4;EP300;FAS;BAX;STAT6;IKBKE
KEGG_2016	Tuberculosis Homo sapiens hsa05152	19/178	2.787449e-05	3.553998e-03	0	0	3.221359e+00	3.378496e+01	CAMK2B;PLK3;IFNA4;ITGAM;IFNA1;SRC;CAMK2A;CALML3;TNF;RELA;IL1A;MAPK11;HLA-DMB;BCL2;EP300;ATP6V1H;BAX;FCGR2B;ATP6V0C
KEGG_2016	Cholinergic synapse Homo sapiens hsa04725	14/111	5.079949e-05	4.317956e-03	0	0	3.876087e+00	3.832529e+01	CAMK2B;ACHE;MAP2K1;CHRNA6;CAMK2A;ADCY1;ADCY6;GNAO1;PIK3CA;GNG5;CREB3L1;GNB1;KCNQ3;BCL2
KEGG_2016	Circadian entrainment Homo sapiens hsa04713	12/95	1.698084e-04	1.082528e-02	0	0	3.874739e+00	3.363599e+01	CAMK2B;GNAO1;GNG5;MTNR1B;CAMK2A;GNB1;CALML3;ADCY1;ADCY6;CACNA1H;CACNA1G;GRIN2D
KEGG_2016	Influenza A Homo sapiens hsa05164	17/175	2.302043e-04	1.170893e-02	0	0	2.892503e+00	2.422918e+01	IVNS1ABP;IFNA4;MAP2K1;IFNA1;TNF;RELA;PML;SOCS3;IL1A;NXF1;MAPK11;HLA-DMB;PIK3CA;EP300;FAS;MAP2K7;IKBKE
KEGG_2016	Melanogenesis Homo sapiens hsa04916	12/100	2.766436e-04	1.170893e-02	0	0	3.653631e+00	2.993340e+01	GNAO1;CAMK2B;MAP2K1;MC1R;CREB3L1;DVL1;CAMK2A;EP300;CALML3;ADCY1;TYR;ADCY6
KEGG_2016	Calcium signaling pathway Homo sapiens hsa04020	17/180	3.214216e-04	1.170893e-02	0	0	2.803042e+00	2.254419e+01	CAMK2B;PDE1A;CAMK2A;HTR2C;TACR3;CALML3;ADCY1;HTR4;CACNA1H;GRM1;CACNA1G;GRIN2D;ITPKB;P2RX7;HTR6;ADORA2B;PLCE1
KEGG_2016	Aldosterone synthesis and secretion Homo sapiens hsa04925	10/81	6.998585e-04	2.230799e-02	0	0	3.766527e+00	2.736243e+01	CAMK2B;NR4A1;CYP21A2;CREB3L1;CAMK2A;CALML3;ADCY1;ADCY6;CACNA1H;CACNA1G
KEGG_2016	Transcriptional misregulation in cancer Homo sapiens hsa05202	16/180	9.224909e-04	2.268922e-02	0	0	2.618252e+00	1.829748e+01	PTCRA;CSF1R;CDKN1A;ITGAM;FUS;FLT3;ZBTB16;TFE3;DEFA3;RELA;PML;ETV6;NR4A3;TLX1;FEV;MDM2
KEGG_2016	Estrogen signaling pathway Homo sapiens hsa04915	11/99	9.461859e-04	2.268922e-02	0	0	3.344491e+00	2.328793e+01	GNAO1;MAP2K1;PIK3CA;SRC;CREB3L1;CALML3;ADCY1;ESR1;ESR2;GRM1;ADCY6
