Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Lysosome	5/123	2.471729e-04	2.224556e-02	0	0	9.751182e+00	8.098769e+01	CTSA;CD164;CLN3;PPT2;ARSB
KEGG_2019_Human	Bile secretion	3/72	4.332493e-03	1.448681e-01	0	0	9.802372e+00	5.334070e+01	SLC9A3;EPHX1;ATP1B1
KEGG_2019_Human	Proximal tubule bicarbonate reclamation	2/23	4.868012e-03	1.448681e-01	0	0	2.128197e+01	1.133280e+02	SLC9A3;ATP1B1
KEGG_2019_Human	Fatty acid elongation	2/27	6.674464e-03	1.448681e-01	0	0	1.787326e+01	8.953549e+01	TECR;PPT2
KEGG_2019_Human	Protein digestion and absorption	3/90	8.048229e-03	1.448681e-01	0	0	7.767241e+00	3.745599e+01	SLC9A3;SLC3A2;ATP1B1
KEGG_2019_Human	N-Glycan biosynthesis	2/50	2.177361e-02	2.905225e-01	0	0	9.298221e+00	3.558482e+01	ALG8;ALG3
KEGG_2019_Human	Mineral absorption	2/51	2.259619e-02	2.905225e-01	0	0	9.108003e+00	3.451909e+01	SLC9A3;ATP1B1
KEGG_2019_Human	Lysine degradation	2/59	2.962357e-02	3.217397e-01	0	0	7.826533e+00	2.754302e+01	SETD2;PLOD2
KEGG_2019_Human	mTOR signaling pathway	3/152	3.217397e-02	3.217397e-01	0	0	4.521049e+00	1.553703e+01	ULK2;SLC3A2;SKP2
KEGG_2019_Human	RNA transport	3/165	3.953790e-02	3.357709e-01	0	0	4.155513e+00	1.342437e+01	NDC1;EIF2B5;SRRM1
KEGG_2019_Human	Thyroid hormone synthesis	2/74	4.476945e-02	3.357709e-01	0	0	6.191323e+00	1.923167e+01	DUOXA2;ATP1B1
KEGG_2019_Human	Metabolism of xenobiotics by cytochrome P450	2/74	4.476945e-02	3.357709e-01	0	0	6.191323e+00	1.923167e+01	EPHX1;DHDH
KEGG_2019_Human	Complement and coagulation cascades	2/79	5.033402e-02	3.484663e-01	0	0	5.787830e+00	1.730025e+01	C9;CLU
KEGG_2019_Human	Thiamine metabolism	1/15	6.614067e-02	4.251900e-01	0	0	1.578968e+01	4.288433e+01	THTPA
KEGG_2019_Human	Glycosaminoglycan degradation	1/19	8.303507e-02	4.982104e-01	0	0	1.227840e+01	3.055469e+01	ARSB
KEGG_2019_Human	Protein export	1/23	9.962714e-02	5.104375e-01	0	0	1.004394e+01	2.316455e+01	OXA1L
KEGG_2019_Human	Renin-angiotensin system	1/23	9.962714e-02	5.104375e-01	0	0	1.004394e+01	2.316455e+01	CTSA
KEGG_2019_Human	Cell cycle	2/124	1.094971e-01	5.104375e-01	0	0	3.644686e+00	8.061524e+00	SMAD4;SKP2
KEGG_2019_Human	Biosynthesis of unsaturated fatty acids	1/27	1.159222e-01	5.104375e-01	0	0	8.497009e+00	1.830966e+01	TECR
KEGG_2019_Human	FoxO signaling pathway	2/132	1.213539e-01	5.104375e-01	0	0	3.419015e+00	7.210852e+00	SMAD4;SKP2
KEGG_2019_Human	Apelin signaling pathway	2/137	1.289189e-01	5.104375e-01	0	0	3.291552e+00	6.742981e+00	HDAC5;SMAD4
KEGG_2019_Human	Ubiquitin mediated proteolysis	2/137	1.289189e-01	5.104375e-01	0	0	3.291552e+00	6.742981e+00	CBLB;SKP2
KEGG_2019_Human	Measles	2/138	1.304451e-01	5.104375e-01	0	0	3.267184e+00	6.654610e+00	CBLB;HSPA2
KEGG_2019_Human	Pentose and glucuronate interconversions	1/34	1.437398e-01	5.179830e-01	0	0	6.692256e+00	1.298131e+01	DHDH
KEGG_2019_Human	Prion diseases	1/35	1.476424e-01	5.179830e-01	0	0	6.495098e+00	1.242488e+01	C9
KEGG_2019_Human	African trypanosomiasis	1/37	1.553949e-01	5.179830e-01	0	0	6.133642e+00	1.141953e+01	F2RL1
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	1/37	1.553949e-01	5.179830e-01	0	0	6.133642e+00	1.141953e+01	ATP1B1
KEGG_2019_Human	Ferroptosis	1/40	1.668931e-01	5.364422e-01	0	0	5.660969e+00	1.013541e+01	SLC3A2
KEGG_2019_Human	Carbohydrate digestion and absorption	1/44	1.819836e-01	5.493343e-01	0	0	5.133333e+00	8.746373e+00	ATP1B1
KEGG_2019_Human	Glycosphingolipid biosynthesis	1/45	1.857137e-01	5.493343e-01	0	0	5.016414e+00	8.445378e+00	GCNT2
KEGG_2019_Human	Sphingolipid metabolism	1/47	1.931237e-01	5.493343e-01	0	0	4.797826e+00	7.889662e+00	SGPP2
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	1/48	1.968036e-01	5.493343e-01	0	0	4.695508e+00	7.632778e+00	ATP1B1
KEGG_2019_Human	Legionellosis	1/55	2.221025e-01	5.493343e-01	0	0	4.085391e+00	6.146946e+00	HSPA2
KEGG_2019_Human	Viral carcinogenesis	2/201	2.326022e-01	5.493343e-01	0	0	2.225735e+00	3.246069e+00	HDAC5;SKP2
KEGG_2019_Human	Renal cell carcinoma	1/69	2.703593e-01	5.493343e-01	0	0	3.241993e+00	4.240538e+00	EGLN3
